Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abilene Christian,19,8,11,0.421,-7.83,0.36,,0,4,,5,3,,2,8,,1330,1351,,760,479,1085,0.441,89,300,0.297,283,412,0.687,211,642,253,191,55,280,383
2,Air Force,18,3,15,0.167,-7.08,-0.42,,0,7,,2,7,,0,8,,1138,1258,,720,397,892,0.445,149,433,0.344,195,320,0.609,129,526,248,110,55,236,313
3,Akron,17,12,5,0.706,2.06,-2.4,,5,0,,9,0,,2,3,,1408,1257,,685,508,1139,0.446,192,544,0.353,200,265,0.755,226,685,311,138,61,205,308
4,Alabama,18,15,3,0.833,24.72,12.83,,4,1,,7,1,,5,1,,1624,1410,,725,545,1160,0.47,183,565,0.324,351,496,0.708,261,807,312,114,89,232,336
5,Alabama A&M,18,6,12,0.333,-20.49,-6.56,,2,3,,6,5,,0,7,,1364,1450,,735,477,1163,0.41,148,460,0.322,262,403,0.65,279,703,266,157,84,301,390
6,Alabama State,18,7,11,0.389,-9.83,-4.47,,3,2,,4,0,,1,9,,1373,1413,,725,480,1152,0.417,171,508,0.337,242,357,0.678,214,641,218,134,44,173,346
7,Albany (NY),20,10,10,0.5,-9.36,-6.7,,2,3,,4,3,,4,6,,1506,1491,,805,555,1241,0.447,136,435,0.313,260,353,0.737,226,662,241,171,33,220,371
8,Alcorn State,18,3,15,0.167,-15.2,1.51,,3,2,,2,1,,1,14,,1109,1399,,725,395,1042,0.379,104,323,0.322,215,301,0.714,234,625,185,113,52,271,317
9,American,19,10,9,0.526,-7.9,-4.08,,4,2,,5,1,,2,8,,1319,1322,,775,459,1036,0.443,164,477,0.344,237,315,0.752,151,576,243,120,42,224,359
10,Appalachian State,18,11,7,0.611,1.59,-0.72,,5,2,,7,2,,2,4,,1253,1120,,720,440,969,0.454,149,402,0.371,224,345,0.649,172,671,243,115,67,208,254
11,Arizona,17,11,6,0.647,23.52,9.82,,5,1,,8,1,,2,2,,1401,1168,,685,499,1043,0.478,112,352,0.318,291,389,0.748,215,686,286,139,67,197,277
12,Arizona State,17,10,7,0.588,13.01,10.6,,1,5,,5,2,,0,4,,1271,1230,,685,433,977,0.443,152,416,0.365,253,355,0.713,165,619,230,97,89,226,275
13,Arkansas,18,11,7,0.611,15.33,6.39,,0,5,,9,2,,1,3,,1393,1232,,720,517,1084,0.477,133,396,0.336,226,319,0.708,173,649,275,137,110,211,282
14,Arkansas State,19,14,5,0.737,5.46,-1.65,,5,2,,9,0,,4,3,,1503,1332,,770,509,1222,0.417,179,566,0.316,306,425,0.72,252,781,255,136,89,203,364
15,Arkansas-Pine Bluff,18,3,15,0.167,-26.57,-2.82,,0,5,,3,1,,0,14,,1345,1624,,720,504,1091,0.462,137,433,0.316,200,323,0.619,178,616,254,122,38,280,366
16,Army,18,10,8,0.556,-10.35,-6.16,,4,2,,8,2,,2,6,,1369,1344,,740,511,1121,0.456,166,486,0.342,181,273,0.663,185,647,282,122,45,198,259
17,Auburn,18,17,1,0.944,31,11.39,,5,0,,8,0,,3,1,,1543,1190,,720,557,1109,0.502,178,466,0.382,251,337,0.745,205,685,313,127,127,167,319
18,Austin Peay,19,7,12,0.368,-10.64,-0.05,,2,4,,4,3,,2,8,,1272,1385,,765,439,1114,0.394,152,470,0.323,242,343,0.706,188,614,211,153,46,209,343
19,Ball State,17,8,9,0.471,-7.28,-5.28,,2,3,,4,4,,2,4,,1290,1241,,680,426,925,0.461,124,361,0.343,314,450,0.698,155,609,224,93,31,206,283
20,Baylor,17,11,6,0.647,19.99,10.36,,3,3,,8,1,,1,4,,1373,1165,,695,507,1088,0.466,155,426,0.364,204,288,0.708,228,628,276,153,58,191,264
21,Bellarmine,19,3,16,0.158,-17.28,-2.63,,0,6,,3,6,,0,10,,1341,1521,,760,476,1041,0.457,171,478,0.358,218,277,0.787,136,573,275,113,31,255,301
22,Belmont,19,14,5,0.737,1.89,-0.22,,6,2,,8,2,,5,2,,1547,1486,,765,558,1181,0.472,197,527,0.374,234,322,0.727,182,682,329,123,61,224,299
23,Bethune-Cookman,18,7,11,0.389,-7.56,-1.4,,4,1,,3,0,,3,10,,1176,1287,,720,418,1029,0.406,109,345,0.316,231,332,0.696,165,609,186,136,67,236,300
24,Binghamton,20,9,11,0.45,-14.46,-7.76,,1,4,,5,2,,3,8,,1394,1435,,810,503,1069,0.471,151,397,0.38,235,344,0.683,173,690,280,96,65,278,355
25,Boise State,19,13,6,0.684,13.59,3.98,,5,3,,8,1,,2,3,,1482,1274,,765,510,1068,0.478,134,417,0.321,328,423,0.775,205,705,292,102,52,216,299
26,Boston College,18,9,9,0.5,-1.76,1.96,,1,6,,6,5,,0,3,,1263,1330,,725,448,1036,0.432,111,321,0.346,256,354,0.723,204,640,197,86,70,216,334
27,Boston University,19,9,10,0.474,-10.65,-6.88,,3,3,,6,3,,2,7,,1253,1283,,765,449,1016,0.442,155,455,0.341,200,320,0.625,200,678,236,107,49,262,291
28,Bowling Green State,17,7,10,0.412,-8.76,-5.03,,2,3,,5,4,,1,5,,1302,1269,,680,455,1023,0.445,142,416,0.341,250,333,0.751,171,596,189,132,52,201,300
29,Bradley,19,16,3,0.842,9.23,-1.44,,7,1,,9,1,,4,1,,1534,1276,,775,531,1082,0.491,198,479,0.413,274,354,0.774,163,666,301,150,72,231,313
30,Brigham Young,17,11,6,0.647,15.97,2.73,,2,4,,9,1,,0,4,,1364,1139,,690,490,1038,0.472,176,497,0.354,208,305,0.682,212,679,292,124,61,200,264
31,Brown,16,9,7,0.563,-5.3,-3.1,,1,2,,5,3,,4,4,,1161,1153,,655,428,949,0.451,139,399,0.348,166,259,0.641,186,578,240,99,82,202,244
32,Bryant,19,10,9,0.526,-2.49,-3.55,,4,0,,5,2,,4,6,,1569,1450,,765,571,1244,0.459,158,448,0.353,269,380,0.708,252,781,278,139,103,252,303
33,Bucknell,20,8,12,0.4,-7.31,-2.81,,4,3,,6,3,,2,8,,1397,1487,,840,485,1135,0.427,160,500,0.32,267,411,0.65,176,680,255,137,65,280,359
34,Buffalo,17,6,11,0.353,-13.52,-1.05,,1,4,,4,3,,2,8,,1234,1377,,680,430,995,0.432,136,442,0.308,238,348,0.684,136,593,243,114,66,252,274
35,Butler,18,8,10,0.444,9.52,8.75,,1,6,,6,5,,0,4,,1300,1286,,720,421,944,0.446,144,390,0.369,314,424,0.741,151,633,256,63,57,206,266
36,Cal Poly,20,6,14,0.3,-5.71,2.24,,0,8,,4,4,,2,10,,1584,1702,,815,557,1244,0.448,218,644,0.339,252,335,0.752,214,716,311,151,43,341,359
37,Cal State Bakersfield,19,9,10,0.474,-4.47,-0.76,,3,4,,7,1,,1,8,,1420,1365,,765,498,1115,0.447,127,321,0.396,297,388,0.765,243,685,189,130,51,241,398
38,Cal State Fullerton,20,6,14,0.3,-10.86,1.53,,1,7,,4,5,,2,9,,1293,1477,,800,435,1044,0.417,92,335,0.275,331,430,0.77,194,644,181,122,30,285,390
39,Cal State Northridge,18,12,6,0.667,2.16,-4.91,,4,3,,4,2,,6,4,,1466,1270,,725,522,1106,0.472,121,353,0.343,301,429,0.702,223,735,290,149,61,244,378
40,California,18,9,9,0.5,4.76,4.7,,2,5,,7,3,,2,5,,1350,1349,,720,458,1048,0.437,131,390,0.336,303,406,0.746,229,655,182,100,68,215,299
41,California Baptist,18,9,9,0.5,-0.49,-0.44,,2,2,,6,3,,2,5,,1313,1314,,730,472,1100,0.429,116,399,0.291,253,328,0.771,221,653,218,115,45,208,291
42,Campbell,19,8,11,0.421,-7.11,-4.06,,3,3,,4,4,,4,7,,1327,1289,,760,456,1058,0.431,135,436,0.31,280,357,0.784,147,596,247,139,54,202,311
43,Canisius,18,2,16,0.111,-17.81,-2.92,,2,5,,1,6,,1,9,,1156,1424,,720,417,978,0.426,150,414,0.362,172,218,0.789,113,479,213,95,45,214,283
44,Central Arkansas,19,5,14,0.263,-14.39,-3.51,,1,5,,5,2,,0,12,,1365,1473,,785,480,1228,0.391,173,609,0.284,232,323,0.718,240,712,265,162,39,221,263
45,Central Connecticut State,18,12,6,0.667,-5.52,-7.15,,3,2,,5,2,,7,3,,1269,1145,,720,483,1023,0.472,127,381,0.333,176,252,0.698,155,628,258,133,78,203,212
46,Central Michigan,17,8,9,0.471,-4.97,2.41,,2,3,,4,2,,4,6,,1245,1191,,680,450,994,0.453,115,368,0.313,230,320,0.719,181,633,236,132,51,227,281
47,Charleston Southern,20,6,14,0.3,-9.01,0.49,,2,3,,5,2,,1,10,,1478,1585,,815,494,1168,0.423,149,488,0.305,341,535,0.637,243,773,243,98,57,260,353
48,Charlotte,19,7,12,0.368,-5.76,-1.09,,0,6,,5,5,,1,6,,1337,1399,,770,437,1049,0.417,121,413,0.293,342,464,0.737,170,610,230,100,42,176,323
49,Chattanooga,19,12,7,0.632,-1.52,-3.22,,4,2,,8,2,,4,5,,1475,1379,,770,525,1111,0.473,189,531,0.356,236,305,0.774,159,637,325,119,41,208,302
50,Chicago State,20,2,18,0.1,-19.96,-0.36,,2,3,,1,4,,1,12,,1190,1582,,800,419,1156,0.362,136,468,0.291,216,325,0.665,181,636,211,153,74,288,409
51,Cincinnati,17,12,5,0.706,15.55,3.73,,2,4,,8,2,,3,3,,1231,1030,,680,467,1034,0.452,133,406,0.328,164,254,0.646,211,639,247,127,86,173,232
52,Clemson,19,15,4,0.789,16.47,6,,7,1,,10,1,,3,3,,1467,1268,,775,520,1125,0.462,177,455,0.389,250,320,0.781,213,670,278,143,65,206,296
53,Cleveland State,20,14,6,0.7,-2.1,-3.51,,8,1,,9,2,,5,4,,1493,1309,,800,549,1205,0.456,130,384,0.339,265,359,0.738,250,685,284,194,92,237,360
54,Coastal Carolina,19,8,11,0.421,-9.9,-6.48,,1,6,,5,4,,2,7,,1314,1325,,765,459,1034,0.444,142,416,0.341,254,360,0.706,191,708,229,72,29,230,343
55,Colgate,20,9,11,0.45,-4.78,-3.57,,6,1,,6,2,,3,7,,1411,1401,,800,524,1145,0.458,179,509,0.352,184,260,0.708,154,657,280,130,46,229,296
56,College of Charleston,19,15,4,0.789,1.43,-1.52,,5,1,,8,1,,4,2,,1490,1414,,770,515,1145,0.45,159,448,0.355,301,396,0.76,169,699,312,128,40,232,306
57,Colorado,17,9,8,0.529,8.99,6.82,,0,6,,8,3,,0,3,,1253,1216,,690,430,934,0.46,118,347,0.34,275,357,0.77,156,609,273,134,67,256,282
58,Colorado State,18,11,7,0.611,9.65,3.87,,5,2,,7,2,,3,2,,1334,1230,,735,482,1033,0.467,146,452,0.323,222,283,0.784,147,650,304,85,57,229,321
59,Columbia,16,11,5,0.688,-2.54,-6.4,,0,3,,8,2,,3,3,,1302,1153,,640,468,952,0.492,152,410,0.371,214,282,0.759,162,577,299,130,36,186,237
60,Connecticut,18,13,5,0.722,17.86,5.03,,5,2,,8,1,,4,1,,1456,1225,,730,518,1047,0.495,171,464,0.369,249,316,0.788,186,619,348,102,120,183,342
61,Coppin State,19,3,16,0.158,-20.96,-1.24,,1,3,,3,3,,0,13,,1146,1475,,760,398,1037,0.384,92,323,0.285,258,379,0.681,181,566,204,154,24,278,335
62,Cornell,16,10,6,0.625,0.3,-3.77,,2,1,,4,4,,6,2,,1385,1235,,640,507,982,0.516,173,464,0.373,198,270,0.733,147,558,325,105,54,203,257
63,Creighton,18,12,6,0.667,15.56,10.23,,5,2,,9,1,,2,3,,1358,1262,,720,483,1029,0.469,179,515,0.348,213,282,0.755,147,675,302,70,88,232,187
64,Dartmouth,16,7,9,0.438,-9.5,-5.86,,1,2,,5,3,,2,6,,1256,1172,,645,429,987,0.435,170,476,0.357,228,313,0.728,151,586,259,99,35,182,253
