Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,19,8,11,0.421,-7.83,0.36,,0,4,,5,3,,2,8,,1330,1351,,760,442,982,0.45,120,357,0.336,347,492,0.705,169,620,233,161,72,311,340
2,Air Force,18,3,15,0.167,-7.08,-0.42,,0,7,,2,7,,0,8,,1138,1258,,720,452,961,0.47,124,338,0.367,230,332,0.693,168,598,211,115,42,202,324
3,Akron,17,12,5,0.706,2.06,-2.4,,5,0,,9,0,,2,3,,1408,1257,,685,445,1050,0.424,125,385,0.325,242,336,0.72,198,642,204,120,48,236,270
4,Alabama,18,15,3,0.833,24.72,12.83,,4,1,,7,1,,5,1,,1624,1410,,725,502,1222,0.411,123,421,0.292,283,394,0.718,223,662,205,130,71,191,388
5,Alabama A&M,18,6,12,0.333,-20.49,-6.56,,2,3,,6,5,,0,7,,1364,1450,,735,475,1077,0.441,155,406,0.382,343,487,0.704,240,706,275,175,59,298,336
6,Alabama State,18,7,11,0.389,-9.83,-4.47,,3,2,,4,0,,1,9,,1373,1413,,725,475,1047,0.454,152,434,0.35,311,430,0.723,204,715,243,100,56,234,299
7,Albany (NY),20,10,10,0.5,-9.36,-6.7,,2,3,,4,3,,4,6,,1506,1491,,805,532,1081,0.492,134,383,0.35,293,410,0.715,161,642,281,116,86,285,316
8,Alcorn State,18,3,15,0.167,-15.2,1.51,,3,2,,2,1,,1,14,,1109,1399,,725,477,1042,0.458,178,513,0.347,267,351,0.761,211,654,307,140,87,215,290
9,American,19,10,9,0.526,-7.9,-4.08,,4,2,,5,1,,2,8,,1319,1322,,775,472,1026,0.46,103,321,0.321,275,386,0.712,164,622,222,121,50,225,306
10,Appalachian State,18,11,7,0.611,1.59,-0.72,,5,2,,7,2,,2,4,,1253,1120,,720,408,1074,0.38,127,451,0.282,177,237,0.747,202,635,191,133,57,189,309
11,Arizona,17,11,6,0.647,23.52,9.82,,5,1,,8,1,,2,2,,1401,1168,,685,409,1032,0.396,139,446,0.312,211,302,0.699,190,559,221,113,43,222,310
12,Arizona State,17,10,7,0.588,13.01,10.6,,1,5,,5,2,,0,4,,1271,1230,,685,446,1066,0.418,130,422,0.308,208,281,0.74,196,617,234,140,64,200,311
13,Arkansas,18,11,7,0.611,15.33,6.39,,0,5,,9,2,,1,3,,1393,1232,,720,442,1076,0.411,139,444,0.313,209,293,0.713,184,618,215,122,49,236,282
14,Arkansas State,19,14,5,0.737,5.46,-1.65,,5,2,,9,0,,4,3,,1503,1332,,770,452,1159,0.39,125,415,0.301,303,447,0.678,253,771,218,120,62,240,339
15,Arkansas-Pine Bluff,18,3,15,0.167,-26.57,-2.82,,0,5,,3,1,,0,14,,1345,1624,,720,558,1140,0.489,183,524,0.349,325,477,0.681,222,699,342,188,57,214,280
16,Army,18,10,8,0.556,-10.35,-6.16,,4,2,,8,2,,2,6,,1369,1344,,740,501,1098,0.456,150,444,0.338,192,262,0.733,166,634,274,118,59,210,270
